DateOfOfqualDataSnapshot,QualificationName,AwardingOrganisation,QualificationNumber,Level,QualificationType,Subcategory,SectorSubjectArea,Status,Age1416_FundingAvailable,Age1416_FundingApprovalStartDate,Age1416_FundingApprovalEndDate,Age1416_Notes,Age1619_FundingAvailable,Age1619_FundingApprovalStartDate,Age1619_FundingApprovalEndDate,Age1619_Notes,LocalFlexibilities_FundingAvailable,LocalFlexibilities_FundingApprovalStartDate,LocalFlexibilities_FundingApprovalEndDate,LocalFlexibilities_Notes,LegalEntitlementL2L3_FundingAvailable,LegalEntitlementL2L3_FundingApprovalStartDate,LegalEntitlementL2L3_FundingApprovalEndDate,LegalEntitlementL2L3_Notes,LegalEntitlementEnglishandMaths_FundingAvailable,LegalEntitlementEnglishandMaths_FundingApprovalStartDate,LegalEntitlementEnglishandMaths_FundingApprovalEndDate,LegalEntitlementEnglishandMaths_Notes,DigitalEntitlement_FundingAvailable,DigitalEntitlement_FundingApprovalStartDate,DigitalEntitlement_FundingApprovalEndDate,DigitalEntitlement_Notes,ESFLevel34_FundingAvailable,ESFLevel34_FundingApprovalStartDate,ESFLevel34_FundingApprovalEndDate,ESFLevel34_Notes,AdvancedLearnerLoans_FundingAvailable,AdvancedLearnerLoans_FundingApprovalStartDate,AdvancedLearnerLoans_FundingApprovalEndDate,AdvancedLearnerLoans_Notes,AwardingOrganisationURL,L3FreeCoursesForJobs_FundingAvailable,L3FreeCoursesForJobs_FundingApprovalStartDate,L3FreeCoursesForJobs_FundingApprovalEndDate,L3FreeCoursesForJobs_Notes
22/10/2024,IMI Level 3 Extended Diploma in Motorsport Maintenance (VRQ),The Institute of the Motor Industry,60173348,Level 3,Vocationally-Related Qualification,,Engineering,Approved,False,,,,True,01/09/2016,31/07/2025,,False,,,,True,01/09/2016,31/07/2025,,False,,,,False,,,,False,,,,True,01/09/2016,31/07/2025,,http://awarding.theimi.org.uk/Qualifications/L3-Extended-Diploma-in-Motorsport-Maintenance,True,01/04/2021,31/07/2025,
22/10/2024,TQUK Level 3 Diploma in Engineering (RQF),Training Qualifications UK Ltd,60356728,Level 3,Occupational Qualification,,Engineering,Approved,False,,,,True,01/04/2020,31/07/2025,18+ Only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/04/2020,31/07/2025,,https://www.tquk.org/qualifications/,True,01/04/2021,31/07/2025,
22/10/2024,WJEC Eduqas Level 3 Advanced GCE in Electronics,WJEC-CBAC,60307778,Level 3,GCE A Level,,Engineering,Approved,True,30/08/2017,31/07/2026,,True,30/08/2017,31/07/2026,,False,,,,True,30/08/2017,31/07/2026,,False,,,,False,,,,False,,,,True,30/08/2017,31/07/2026,,,True,01/04/2021,31/07/2026,
22/10/2024,WJEC Eduqas Level 3 Advanced Subsidiary GCE in Electronics,WJEC-CBAC,6030778X,Level 3,GCE AS Level,,Engineering,Approved,True,30/08/2017,31/07/2026,,True,30/08/2017,31/07/2026,,False,,,,True,30/08/2017,31/07/2026,,False,,,,False,,,,False,,,,True,30/08/2017,31/07/2026,,,True,01/04/2021,31/07/2026,
22/10/2024,CABWI Level 4 Diploma In Water Industry Operations and Management,CABWI Awarding Body,60131718,Level 4,Occupational Qualification,,Engineering,Approved,False,,,,True,01/02/2017,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2017,31/07/2025,,,False,,,
22/10/2024,City & Guilds Level 4 Diploma in Aerospace and Aviation (Development Competence),City and Guilds of London Institute,60362443,Level 4,Occupational Qualification,,Engineering,Approved,False,,,,True,14/08/2020,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,EAL Level 4 Diploma In the Servicing and Repair of Clocks / Watches,"Excellence, Achievement & Learning Limited",60034415,Level 4,Vocationally-Related Qualification,,Engineering,Approved,False,,,,True,01/10/2011,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,EAL Level 4 NVQ Diploma in Engineering Manufacture ,"Excellence, Achievement & Learning Limited",60094862,Level 4,Occupational Qualification,,Engineering,Approved,False,,,,True,01/06/2013,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2016,31/07/2025,,http://qualifications.eal.org.uk/PDF/Sfa/60094862_PS.pdf,False,,,
22/10/2024,EAL Level 4 NVQ Extended Diploma in Engineering Manufacture,"Excellence, Achievement & Learning Limited",60095763,Level 4,Occupational Qualification,,Engineering,Approved,False,,,,True,01/06/2013,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2016,31/07/2025,,http://qualifications.eal.org.uk/PDF/Sfa/60095763_PS.pdf,False,,,
22/10/2024,EAL Level 4 Diploma in Engineering and Advanced Manufacturing (Development Competence),"Excellence, Achievement & Learning Limited",60186185,Level 4,Occupational Qualification,,Engineering,Approved,False,,,,True,01/04/2016,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCN NI Level 4 Certificate in Concrete Construction Detailing and Drafting,Open College Network Northern Ireland,60190371,Level 4,Vocationally-Related Qualification,,Engineering,Approved,False,,,,True,01/07/2016,31/07/2025,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,TQUK Level 4 Award for Commercial Drone Pilots (RQF),Training Qualifications UK Ltd,60333790,Level 4,Occupational Qualification,,Engineering,Approved,False,,,,True,01/07/2018,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,"EAL Level 5 Diploma In the Repair, Restoration and Conservation of Clocks / Watches","Excellence, Achievement & Learning Limited",60032728,Level 5,Other General Qualification,,Engineering,Approved,False,,,,True,01/10/2011,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,TQUK Level 5 Award for Commercial Drone Chief Pilots (RQF),Training Qualifications UK Ltd,60338908,Level 5,Occupational Qualification,,Engineering,Approved,False,,,,True,01/12/2018,31/07/2026,18+ only,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,ECITB Level 6 Diploma in Advanced Project Controls Practice and Techniques (RQF),Engineering Construction Industry Training Board,60378724,Level 6,Occupational Qualification,,Engineering,Approved,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,True,08/09/2021,31/07/2025,,https://www.ecitb.org.uk/wp-content/uploads/2021/09/QS-ECITB-Level-6-Diploma-in-Advanced-Project-Controls-practice-and-techniques-RQF-RV1-0.pdf,False,,,
22/10/2024,GA Entry Level Award in Looking after the Environment (Entry 3),Gatehouse Awards Ltd,60324995,Entry Level,Other General Qualification,,Environmental conservation,Approved,True,01/11/2017,31/07/2026,,True,01/11/2017,31/07/2026,,True,01/11/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCNLR Entry Level Award in Delivering a Sustainability Project (Entry 3),OCN London,61006786,Entry Level,Other General Qualification,,Environmental conservation,Approved,True,01/04/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCNLR Entry Level Award in Exploring Careers in the Green Industries (Entry 3),OCN London,6100683X,Entry Level,Other General Qualification,,Environmental conservation,Approved,True,01/04/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCNLR Entry Level Award in Investigating an Environmental Issue (Entry 3) ,OCN London,61006865,Entry Level,Other General Qualification,,Environmental conservation,Approved,True,01/04/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Level 1 Award in Environmental Sustainability,AIM Qualifications,60056538,Level 1,Other Life Skills Qualification,,Environmental conservation,Approved,True,01/06/2012,31/07/2026,,True,01/06/2012,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Ascentis Level 1 Award in Environmental Sustainability,Ascentis,50104196,Level 1,Other Life Skills Qualification,,Environmental conservation,Approved,True,01/09/2010,31/07/2026,,True,01/09/2010,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Ascentis Level 1 Award in Preventing Plastic Pollution,Ascentis,60344052,Level 1,Other Life Skills Qualification,,Environmental conservation,Approved,True,01/08/2019,31/07/2026,,True,01/08/2019,31/07/2026,,True,01/08/2019,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,GA Level 1 Award in Environmental Sustainability ,Gatehouse Awards Ltd,60325008,Level 1,Other Life Skills Qualification,,Environmental conservation,Approved,True,01/11/2017,31/07/2026,,True,01/11/2017,31/07/2026,,True,01/08/2018,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCNLR Level 1 Award in Delivering a Sustainability Project ,OCN London,61006804,Level 1,Other General Qualification,,Environmental conservation,Approved,True,01/04/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCNLR Level 1 Award in Exploring Careers in the Green Industries,OCN London,61006841,Level 1,Other General Qualification,,Environmental conservation,Approved,True,01/04/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCNLR Level 1 Award in Investigating an Environmental Issue,OCN London,61006877,Level 1,Other General Qualification,,Environmental conservation,Approved,True,01/04/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,ProQual Level 1 Award in Understanding Carbon Awareness and Energy Management ,ProQual Awarding Body,60125068,Level 1,Vocationally-Related Qualification,,Environmental conservation,Approved,False,,,,True,01/02/2014,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,SEG Awards Level 1 Certificate in Practical Environmental and Conservation Skills,Skills and Education Group Awards,50040856,Level 1,Vocationally-Related Qualification,,Environmental conservation,Approved,True,01/09/2008,31/07/2026,,True,01/09/2008,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Ascentis Level 2 Award in Environmental Sustainability,Ascentis,50104202,Level 2,Other Life Skills Qualification,,Environmental conservation,Approved,True,30/08/2010,31/07/2026,,True,30/08/2010,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Ascentis Level 2 Award in Carbon Awareness and the Impact of Climate Change,Ascentis,61006944,Level 2,Other Life Skills Qualification,,Environmental conservation,Approved,True,01/08/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds  Level 2 Diploma in Work-based Environmental Conservation,City and Guilds of London Institute,50090628,Level 2,Occupational Qualification,,Environmental conservation,Approved,False,,,,True,24/05/2010,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,City & Guilds Level 2 Technical Award in Land Based Studies,City and Guilds of London Institute,6100652X,Level 2,Vocationally-Related Qualification,,Environmental conservation,Approved,True,01/08/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,CIWM (WAMITAB) Level 2 Certificate in Principles of Sustainable Resource Management ,CIWM,50113574,Level 2,Vocationally-Related Qualification,,Environmental conservation,Approved,False,,,,True,01/11/2012,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,CIWM (WAMITAB) Level 2 Diploma for Sustainable Recycling Activities ,CIWM,50121820,Level 2,Occupational Qualification,,Environmental conservation,Approved,False,,,,True,01/10/2010,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,NCFE Level 2 Certificate in Understanding Climate Change and Environmental Awareness,NCFE,60356832,Level 2,Other Vocational Qualification,,Environmental conservation,Approved,False,,,,True,01/06/2020,31/07/2026,,True,01/06/2020,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCNLR Level 2 Award in Delivering a Sustainability Project,OCN London,61006816,Level 2,Other General Qualification,,Environmental conservation,Approved,True,01/04/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCNLR Level 2 Award in Exploring Careers in the Green Industries,OCN London,61006853,Level 2,Other General Qualification,,Environmental conservation,Approved,True,01/04/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,OCNLR Level 2 Award in Investigating an Environmental Issue,OCN London,61006889,Level 2,Other General Qualification,,Environmental conservation,Approved,True,01/04/2022,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,ProQual Level 2 Award in Understanding Carbon Awareness and Energy Management,ProQual Awarding Body,60125056,Level 2,Vocationally-Related Qualification,,Environmental conservation,Approved,False,,,,True,01/02/2014,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,SEG Awards Level 2 Award in Practical Environmental and Conservation Skills,Skills and Education Group Awards,50097404,Level 2,Occupational Qualification,,Environmental conservation,Approved,False,,,,True,01/08/2010,31/07/2026,,True,01/08/2016,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Access to HE Diploma (Global Studies and Sustainability),AIM Qualifications,40015233,Level 3,Access to Higher Education,,Environmental conservation,Approved,False,,,,True,01/03/2024,31/07/2026,,False,,,,True,01/03/2024,31/07/2026,,False,,,,False,,,,False,,,,True,01/03/2024,31/07/2026,,,False,,,
22/10/2024,City & Guilds  Level 3 Award in Business Management for the Environment and Land-based Sector,City and Guilds of London Institute,50092327,Level 3,Vocationally-Related Qualification,,Environmental conservation,Approved,False,,,,True,21/06/2010,31/07/2026,,False,,,,False,,,,False,,,,False,,,,True,01/08/2016,31/03/2023,,False,,,,,False,,,
22/10/2024,CIWM (WAMITAB) Level 3 Diploma for Sustainable Recycling Activities (Supervisory) ,CIWM,50121856,Level 3,Occupational Qualification,,Environmental conservation,Approved,False,,,,True,01/10/2010,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,True,01/08/2016,31/07/2023,,,False,,,
22/10/2024,NCFE Level 3 Certificate in Championing Sustainability in the Workplace,NCFE,61001430,Level 3,Vocationally-Related Qualification,,Environmental conservation,Approved,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,True,31/01/2022,31/07/2026,,https://www.qualhub.co.uk  ,False,,,
22/10/2024,Access to HE Diploma (Environmental and Public Health),Open Awards,40013054,Level 3,Access to Higher Education,,Environmental conservation,Approved,False,,,,True,01/09/2022,31/07/2026,,False,,,,True,01/09/2022,31/07/2026,,False,,,,False,,,,False,,,,True,01/09/2022,31/07/2026,,,False,,,
22/10/2024,Access to HE Diploma (Land Based Science),Skills and Education Group Access,40014708,Level 3,Access to Higher Education,,Environmental conservation,Approved,False,,,,True,01/10/2023,31/07/2026,,False,,,,True,01/10/2023,31/07/2026,,False,,,,False,,,,False,,,,True,01/10/2023,31/07/2026,,,False,,,
22/10/2024,Agored Cymru Entry Level Award in Personal and Social Education (Entry 1),Agored Cymru,60374019,Entry Level,Vocationally-Related Qualification,,Foundations for learning and life,Approved,True,16/04/2021,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Agored Cymru Entry Level Award in Personal and Social Education (Entry 2),Agored Cymru,60374056,Entry Level,Vocationally-Related Qualification,,Foundations for learning and life,Approved,True,16/04/2021,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,Agored Cymru Entry Level Award in Personal and Social Education (Entry 3),Agored Cymru,60374093,Entry Level,Vocationally-Related Qualification,,Foundations for learning and life,Approved,True,16/04/2021,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Diploma in Personal Progress (Entry 1),AIM Qualifications,60058857,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,31/07/2026,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Certificate in Personal Progress (Entry 1),AIM Qualifications,60058869,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,31/07/2026,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in Personal Progress (Entry 1),AIM Qualifications,60058870,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,31/07/2026,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in Independent Living - Accessing Community Facilities (Entry 1),AIM Qualifications,60058961,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,31/07/2026,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in Independent Living - Accessing Community Facilities (Entry 2),AIM Qualifications,60058973,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,30/04/2025,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in Independent Living - Accessing Community Facilities (Entry 3),AIM Qualifications,60058985,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,30/04/2025,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in Independent Living - Household Skills (Entry 1),AIM Qualifications,60058997,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,30/04/2025,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in Independent Living - Household Skills (Entry 3),AIM Qualifications,60059023,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,31/07/2026,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Certificate in Independent Living - Living in the Community (Entry 1),AIM Qualifications,6005914X,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,30/04/2025,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Certificate in Independent Living - Living in the Community (Entry 3),AIM Qualifications,60059151,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,30/04/2025,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Certificate in Independent Living - Looking After Yourself and Your Home (Entry 1),AIM Qualifications,60059163,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,31/07/2026,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Certificate in Independent Living - Looking After Yourself and Your Home (Entry 2),AIM Qualifications,60059175,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,31/07/2026,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Certificate in Independent Living - Looking After Yourself and Your Home (Entry 3),AIM Qualifications,60059187,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,31/07/2026,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Certificate in Independent Living - Living in the Community (Entry 2),AIM Qualifications,60059473,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/07/2012,31/07/2026,,True,01/07/2012,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in Personal Potential (Entry 2),AIM Qualifications,60104004,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/08/2013,30/04/2025,,True,01/08/2013,31/07/2022,,True,01/08/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in English (Entry 1),AIM Qualifications,60303232,Entry Level,Other General Qualification,,Foundations for learning and life,Approved,True,01/09/2016,31/07/2026,,True,01/09/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in English (Entry 2),AIM Qualifications,60303244,Entry Level,Other General Qualification,,Foundations for learning and life,Approved,True,01/09/2016,31/07/2026,,True,01/09/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in English (Entry 3),AIM Qualifications,60303256,Entry Level,Other General Qualification,,Foundations for learning and life,Approved,True,01/09/2016,31/07/2026,,True,01/09/2016,31/07/2022,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 1 Award in Personal and Social Development Skills,AIM Qualifications,60315027,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 1 Extended Award in Personal and Social Development Skills,AIM Qualifications,60315039,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 1 Certificate in Personal and Social Development Skills,AIM Qualifications,60315040,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 1 Extended Certificate in Personal and Social Development Skills,AIM Qualifications,60315052,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 1 Diploma in Personal and Social Development Skills,AIM Qualifications,60315064,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 2 Award in Personal and Social Development Skills,AIM Qualifications,60315076,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 2 Extended Award in Personal and Social Development Skills,AIM Qualifications,60315088,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 2 Certificate in Personal and Social Development Skills,AIM Qualifications,6031509X,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 2 Extended Certificate in Personal and Social Development Skills,AIM Qualifications,60315106,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 2 Diploma in Personal and Social Development Skills,AIM Qualifications,60315118,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 3 Award in Personal and Social Development Skills,AIM Qualifications,6031512X,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 3 Extended Award in Personal and Social Development Skills,AIM Qualifications,60315131,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 3 Certificate in Personal and Social Development Skills,AIM Qualifications,60315143,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 3 Extended Certificate in Personal and Social Development Skills,AIM Qualifications,60315155,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry 3 Diploma in Personal and Social Development Skills,AIM Qualifications,60315167,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,True,01/09/2017,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
22/10/2024,AIM Qualifications Entry Level Award in Mathematics (Entry 1),AIM Qualifications,60337771,Entry Level,Other Life Skills Qualification,,Foundations for learning and life,Approved,True,01/11/2018,31/07/2026,,True,01/11/2018,31/07/2026,,False,,,,False,,,,False,,,,False,,,,False,,,,False,,,,,False,,,
